Howtext,이름,Function,Company,Shape,Howword,Except,Companyinfo
"1일 2회, 1회 1포(20 g)를 씹어서 섭취하십시오.",바디핏 다이어트 풋사과 젤리,체지방 감소에 도움을 줄 수 있음,(주)서흥 오창공장,젤리,," 1.  사과에 알레르기가 있으신 분은 섭취 시 주의
 2.  특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.   
 3.  개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.
 4.  질병치료 중인 분은 섭취 전 의사와 상담 후 섭취하십시오.",
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",코엔자임Q10플러스,"[코엔자임Q10제품] 1. 항산화에 도움을 줄 수 있음 2.  높은 혈압 감소에 도움을 줄 수 있음

[비타민E]유해산소로부터 세포를 보호하는데 필요",(주)한국씨엔에스팜,캡슐,," 1.  어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오. 

 2.  특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.",
"1일 1회, 1회 1정을 충분한 물과 함께 섭취하십시오.",하루한알," 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요",주식회사한미양행,알약,,"특히 6세 이하는 과량섭취하지 않도록 주의
알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.",
"1일 2회, 1회 1정을 씹어서 섭취하십시오",키즈 츄어블 칼슘,"[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌",주식회사 노바렉스,알약,,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 

나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다",
"1일1회, 1회에 1정씩 씹어서 섭취",멀티비타민,"[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요",스포맥스,알약,,알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.,
1일1회 1회 1포(20mL)를 그대로 섭취하십시오,홍삼아이,[홍삼제품] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름 5. 항산화에 도움을 줄 수 있음,(주)다정,액상,,"-알레르기등특이체질이신경우성분을확인하신후섭취하십시오.

-제품개봉시포장재에의해상처를입을수있으니주의하십시오.

-원료성분에의해간혹침전물이생길수있으나원료고유의성분이오니안심하고흔들어드십시오.

-포장변형,팽창,손상및내용물이변질되었을경우에는섭취하지마십시오.

-개봉후에는변질될수있으므로바로섭취하십시오.

-의약품(당뇨치료제,혈압항응고제)복용시섭취주의하십시오.",
"1일 3회, 1회 2정을 식전에 물과 함께 섭취하십시오.",슈퍼블럭 키토산애프터,"[키토산 제품] 1. 혈중 콜레스테롤 개선에 도움을 줄 수 있음  2. 체지방 감소에 도움을 줄 수 있음

[난소화성말토덱스트린 제품]  3. 배변활동 원활에 도움을 줄 수 있음

[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",(주)뉴트리바이오텍,알약,,"[키토산 제품]갑각류(게, 새우 등)에 알레르기를 나타내는 사람은 섭취에 주의

[난소화성말토덱스트린 제품]반드시 충분한 물과 함께 섭취할 것(액상제외)



1. 임산부 , 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.

2. 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시오.

3. 섭취량 및 섭취방법을 확인한 후 섭취하십시오.

4. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.

5. 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.

6. 제품을 개봉하신 후에는 원료의 특성상 흡습으로 인하여 변질될 수 있으니 섭취 직전에 개봉하여 드시기 바랍니다.",
"1일 1회, 1회 1캅셀씩 물과 함께 섭취바랍니다.",진프로폴리스아연," 1. 항산화에 도움을 줄 수 있음 

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)녹십초알로에,캡슐,,프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,
1일 3회 1회에 동봉된 스푼(1스푼 5.5g정도)을 이용하여 2스푼(11g)을 그대로 또는 냉온수에  타서 섭취한다.,고려천년의빛홍삼정,"면역력 증진,피로개선, 혈소판 응집 억제를 통한 혈액흐름,기억력 개선, 항산화에 도움을 줄 수 있음",(주)대한홍삼진흥공사,액상,,"알러지 등 특이제질의 경우 성분을 확인 후 섭취한다.

 어린이의 섭취 시에는 보호자의 관리하에 섭취하시기 바랍니다.

 의약품(당뇨병치료제, 혈액항응고제)복용 시 섭취에 주의하십시오.",
"1일 1회, 1회 1포(2g)를 충분한 물과 함께 섭취합니다.",메가도스C2000, 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요,고려은단 헬스케어(주),분말,,"(1) 임산부와 수유기 여성은 섭취 시 전문가와 상담하시기 바랍니다.
(2) 공복에 섭취 시 위장장애로 설사를 유발 할 수 있으니 음식물과 함께 섭취하거나 식후에 섭취하십시오.
(3) 알레르기 체질이신 경우 성분을 확인 후 섭취하십시오.
(4) 제품의 변질 및 변색된 경우에는 섭취하지 마시고 소비자 상담실로 문의 하시기 바랍니다.",
"성인 1일 3회,1회 1g을 온수 또는 냉수에 타서 섭취",홍삼농축액골드,"[홍삼(원료성)] 1. 면역력증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판응집억제를통한혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음

[홍삼제품] 1. 면역력증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판응집억제를통한혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음",풍기특산물영농조합법인,액상,,"알레르기체질이신경우는성분을확인하고섭취
의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
개봉 후에는 속마개는 버리시고 뚜껑을 닫아 반드시 냉장(0~10℃)보관 하십시오.",
"1일 3회, 1회 1g씩 식전, 식후에 관계없이 그냥 드시거나 냉온수에 타서 드십시오.",홍삼정,"[홍삼제품] 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음

[홍삼(원료성)] 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음",종근당건강(주),액상,,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 3회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오.",인성카라본글루코사민,[글루코사민 제품] 1. 관절 및 연골 건강에 도움,코스맥스바이오(주),캡슐,,"[글루코사민 제품]게에 알레르기를 나타내는 사람은 섭취에 주의(게를 원재료로 사용한 경우에 한함)새우에 알레르기를 나타내는 사람은 섭취에 주의(새우를 원재료로 사용한 경우에 한함)

섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오.

섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.

개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오.

섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오. 

특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.",
"400mg 제피정제를 1일 1회, 1정을 충분한 물과 함께 섭취",비타민D 2000 I.U,[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌,동서바이오팜(주),알약,,"특이체질, 알레르기체질의 경우 성분을 확인 후 섭취 하십시오.",
"1일 1회, 1회 2정을 물과 함께 섭취하시오.",멀티비타민플러스미네랄,"[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요

[아연] 1. 정상적인 면역기능에 필요 2.  정상적인 세포분열에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요  2. 뼈의 형성과 유지에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",주식회사 노바렉스,알약,,-,
"1일 1회, 1회 1정을 씹어서 섭취하십시오.",울트라멀티비타민미네랄,"[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[망간] 1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요",(주)유유헬스케어,알약,," 1.  알레르기 체질이신 분은 성분을 확인한 후, 섭취하시기 바랍니다.

 2.  영ㆍ유아, 임산부 ㆍ수유부나 질환보유자 또는 약물 복용중이신 분은 섭취 전에 의사, 약사 등 전문가와 상의하십시오.",
"1일 3회, 1회 1정을 물과 함께 섭취하십시오.",쾌변알로에정,[알로에 전잎]  1. 배변활동 원활에 도움을 줄 수 있음,(주)비오팜,알약,,,
1일 3회: 1회 섭취 100g 식전 식후 우유또 주스 물 250ml:100g을 혼합하여 섭취한다.,프로틴게이너,"[단백질] 1. 근육, 결합조직 등 신체조직의 구성성분 2. 효소, 호르몬, 항체의 구성에 필요 3. 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요 4. 체액, 산-염기의 균형 유지에 필요 5. 에너지, 포도당, 지질의 합성에 필요",이원바이오,분말,,[단백질]특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의,
"씹어서 드시거나 물에 녹여서 섭취 1일 1회, 1회 1포(1g)",애터미 홍삼단,면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음,홍삼단 주식회사,환,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의 하십시오.
알레르기 및 특이체질이신 분은 성분 확인 후 섭취하시기 바랍니다.",
"1일 1회 , 1회 1병을 섭취 하십시오.",홍삼의 선물 활력진액, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)팜텍코리아,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 2회, 1회 1포씩 음료수 또는 충분한 물에 타서 섭취.",해우심,[차전자피 제품] 1. 혈중 콜레스테롤 개선에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,주식회사 힐링,분말,,[차전자피 제품]반드시 충분한 물과 함께 섭취할 것 (액상 제외),
"- 1일 2회, 1회 1 캡슐씩 물과 함께 섭취한다.",이지맘포맨,"[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[나이아신] 1. 체내 에너지 생성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",(주)비오팜,캡슐,,#NAME?,
1일 1회 1회 2캡슐을 취침 전 충분한 물과 함께 섭취하십시오.,드림앤슬림,[미역 등 복합추출물(잔티젠)]체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급),주식회사 노바렉스,캡슐,,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.",
1일 1회 1회 2정(캡슐)을 충분한 물과 함께 섭취하십시오,메가맨,"[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[비오틴] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민K] 1. 정상적인 혈액응고에 필요 2. 뼈의 구성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[구리] 1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요

[요오드] 1. 갑상선 호르몬의 합성에 필요 2. 에너지 생성에 필요 3. 신경발달에 필요

[베타카로틴] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[망간] 1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요",주식회사 노바렉스,캡슐,,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",프리미엄 쏘팔메토,"[쏘팔메토열매추출물 제품] 1. 전립선 건강의 유지에 도움을 줄 수 있음
[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)알피바이오,캡슐,,"[쏘팔메토열매추출물 제품] 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음
알레르기 체질 또는 질병으로 인하여 치료를 받고 있는 분은 섭취 전에 상담 후 섭취하십시오.",
"1일 2회, 1회 2캡슐을 물과 함께 섭취하십시오.",내눈앤,"노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

(EPA 및 DHA 함유 유지)혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음",(주)한국씨엔에스팜,캡슐,,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.,
"1일 2회, 1회 2정을 물과 함께 섭취하십시오.",스키니 미라클컷,"[가르시니아캄보지아추출물]  1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

[알로에 전잎]  1. 배변활동 원활에 도움을 줄 수 있음

[비타민A]  1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민B1]  1. 탄수화물과 에너지 대사에 필요

[비타민B2]  1. 체내 에너지 생성에 필요

[비타민B6]  1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C]  1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민E]  1. 유해산소로부터 세포를 보호하는데 필요

[나이아신]  1. 체내 에너지 생성에 필요

[판토텐산]  1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[아연]  1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[셀레늄(또는 셀렌)]  1. 유해산소로부터 세포를 보호하는데 필요",(주)비오팜,알약,,#NAME?,
1일 3회 1회 1캅셀을 물과 함께 섭취,씨스팜글루코사민, 1. 관절 및 연골 건강에 도움,(주)씨스팡,캡슐,,알레르기 체질은 성분 확인 후 섭취,
"1일 2회, 1회 2정을 물과 함께 섭취",슈퍼슬림다이어트HCA,[가르시니아캄보지아추출물] 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,(주)오투바이오,알약,,"1.알레르기체질의 경우 성분을 확인 후 섭취 하십시오.

2. 임산부와 수유기 여성은 섭취를 피하시는 것이 좋습니다.",
물과 함께 섭취하십시오.,듀오락레이디, 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,(주)쎌바이오텍,분말,,"질병치료중이신 분, 알레르기, 특이체질이신 분은 의사, 약사 등 전문가와 상담 후 섭취하십시오.",
"1일 3회, 1회 1캡슐을 물과 함께 섭취하십시오.",리버파워 플러스,[밀크씨슬(카르두스 마리아누스) 추출물 제품] 1.  간 건강에 도움을 줄 수 있음,(주)유유헬스케어,캡슐,,"[밀크씨슬(카르두스 마리아누스) 추출물 제품] 1.  알레르기 반응이 나타나는 경우에는 섭취 중단  2.  설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의

PTP포장의 경우 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의",
"1일 3회, 1회 1캅셀씩 물과 함께 섭취하십시오.",녹차다이어트,[녹차추출물]체지방 감소에 도움을 줄 수 있음(기타기능 II),종근당건강(주),캡슐,,"[녹차추출물]카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음

1) 알레르기 체질이신 분은 성분을 확인 후 섭취하여 주십시오

2) 섭취량 및 섭취방법을 확인하시고 섭취하여 주십시오. 

3) 유통기한이 경과된 제품은 섭취하지 않도록 주의 바랍니다. 

4) 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.",
